2026-02-19 14:12:31 | INFO     | arxiv-rag.supabase | Batch upserted 48 chunks
2026-02-19 14:12:31 | INFO     | arxiv-rag.embed_recovered |   Saved 48 chunks to DB
2026-02-19 14:12:31 | INFO     | arxiv-rag.embed_recovered | [48/226] Processing: 2501.18824v1
2026-02-19 14:12:31 | INFO     | arxiv-rag.chunker | Chunked 2501.18824v1: 45 chunks, 16951 tokens
2026-02-19 14:12:31 | INFO     | arxiv-rag.embed_recovered |   Created 45 chunks
2026-02-19 14:12:32 | INFO     | arxiv-rag.embed_recovered |   Embedded 45 chunks
2026-02-19 14:12:32 | INFO     | arxiv-rag.supabase | Batch upserted 45 chunks
2026-02-19 14:12:32 | INFO     | arxiv-rag.embed_recovered |   Saved 45 chunks to DB
2026-02-19 14:12:32 | INFO     | arxiv-rag.embed_recovered | [49/226] Processing: 2501.09223v2
2026-02-19 14:12:32 | INFO     | arxiv-rag.chunker | Chunked 2501.09223v2: 348 chunks, 139748 tokens
2026-02-19 14:12:32 | INFO     | arxiv-rag.embed_recovered |   Created 348 chunks
2026-02-19 14:12:36 | INFO     | arxiv-rag.bge_embedder | BGE embedding progress: 160/348
2026-02-19 14:12:39 | INFO     | arxiv-rag.bge_embedder | BGE embedding progress: 320/348
